System,IC
101346876_CrO2_0,-541.559299
11018843_CrO2_0,-551.956712
11040679_CrO2_0,-552.121009
118565854_CrO2_0,-561.360311
118565870_CrO2_0,-562.959635
121403757_MoO2_0,-597.736640
12365414_CrO2_0,-551.934833
124004487_CrO2_0,-492.409812
12554261_CrO2_0,-564.401109
12554261_MoO2_0,-597.493215
129740187_CrO2_0,-551.452076
129760305_CrO2_0,-520.790939
129856444_TiS2_0,-443.919675
132107352_CrO2_0,-564.763819
134613080_MoO2_0,-596.843706
13549431_CrO2_0,-559.359160
136058945_CrO2_0,-564.112048
137095176_CrO2_0,-551.305792
138208_CrO2_0,-541.954277
139613335_CrO2_0,-548.171302
139658327_CrO2_0,-561.204094
139746417_CrO2_0,-550.535979
140982578_CrO2_0,-507.641454
141116177_MoO2_0,-598.779694
14150589_CrO2_0,-492.496415
143422111_CrO2_0,-549.690547
145425612_CrO2_0,-562.021011
146342337_CrO2_0,-541.527460
150043556_CrO2_0,-557.549303
150228848_CrO2_0,-550.310386
150937838_CrO2_0,-492.719448
151089070_CrO2_0,-506.639039
151127572_CrO2_0,-555.361731
153951032_CrO2_0,-540.417451
154487753_CrO2_0,-562.644085
154926700_HfSe2_0,-471.240719
154926700_TiSe2_0,-423.958693
154926700_ZrSe2_0,-449.701075
155490907_CrO2_0,-513.678800
19759093_CrO2_0,-551.357775
19831799_CrO2_0,-564.567640
19831799_MoO2_0,-597.173385
19831921_CrO2_0,-565.342417
19831921_MoO2_0,-598.606758
19971623_MoO2_0,-592.355165
20059263_CrO2_0,-564.114015
20059263_MoO2_0,-596.962498
20068707_CrO2_0,-556.758673
20544053_CrO2_0,-559.260093
21458438_CrO2_0,-533.747312
21821560_CrO2_0,-559.450972
21888116_CrO2_0,-560.727070
22281830_CrO2_0,-552.009124
22959174_CrO2_0,-533.108083
23225159_CrO2_0,-561.364702
23425028_CrO2_0,-559.680491
23500541_CrO2_0,-547.828710
3781604_CrO2_0,-549.884008
45080136_CrO2_0,-558.752973
45080372_MoO2_0,-592.127431
45087130_CrO2_0,-547.838554
54276512_CrO2_0,-508.158407
54357333_CrO2_0,-564.165222
55299567_CrO2_0,-572.918187
576317_CrO2_0,-551.521002
59114613_CrO2_0,-563.492928
66171_CrO2_0,-533.136166
66657420_CrO2_0,-526.774178
67818024_CrO2_0,-562.755527
69099985_MoO2_0,-580.449728
69505622_CrO2_0,-523.023326
69895330_CrO2_0,-565.173759
69895330_MoO2_0,-598.605323
70524480_CrO2_0,-524.241213
70544929_CrO2_0,-560.052211
71438758_CrO2_0,-550.648992
72502997_CrO2_0,-533.174519
77835027_CrO2_0,-564.789572
78960_CrO2_0,-552.229365
85843034_CrO2_0,-486.944367
85843071_CrO2_0,-487.781128
86249522_ZrS2_0,-480.445457
86744112_CrO2_0,-512.560787
87361649_ZrS2_0,-485.717639
87699237_CrO2_0,-548.064221
88202317_CrO2_0,-523.083884
88377339_CrO2_0,-538.520201
88942740_TiS2_0,-450.889016
88942740_ZrS2_0,-475.022537
89598856_MoO2_0,-597.416745
90870232_CrO2_0,-560.380582
91340339_CrO2_0,-555.566409
