System,IC
101758957_ZrS2_0,-460.911058
102264300_TiS2_0,-405.627578
102306651_TiS2_0,-394.426593
102587262_TiS2_0,-438.491076
11126406_TiS2_0,-480.465540
11367791_TiS2_0,-471.954271
12210988_TiS2_0,-483.662310
123898489_CrO2_0,-503.472356
124004487_TiS2_0,-407.112349
129760305_CrO2_0,-520.791043
129785799_CrTe2_0,-423.414498
129785799_HfS2_0,-526.025462
129785799_HfSe2_0,-493.500548
129785799_HfTe2_0,-448.586883
129785799_MoSe2_0,-492.657783
129785799_TiS2_0,-475.934320
129785799_TiSe2_0,-446.868144
129785799_TiTe2_0,-411.264517
129785799_ZrS2_0,-501.996031
129785799_ZrSe2_0,-471.732793
129785799_ZrTe2_0,-431.764625
129856444_CrS2_0,-451.303543
129856444_CrTe2_0,-389.127101
129856444_HfS2_0,-493.607537
129856444_HfSe2_0,-460.425276
129856444_HfTe2_0,-414.323361
129856444_MoS2_0,-489.085499
129856444_MoSe2_0,-458.006304
129856444_MoTe2_0,-427.134653
129856444_TiSe2_0,-414.357259
129856444_TiTe2_0,-377.575292
129856444_WS2_0,-521.967540
129856444_WSe2_0,-486.574552
129856444_WTe2_0,-451.075541
129856444_ZrS2_0,-469.745738
129856444_ZrSe2_0,-438.840296
129856444_ZrTe2_0,-397.509420
13016669_ZrS2_0,-461.450023
136032_TiS2_0,-488.614706
136049_TiS2_0,-463.244291
137701216_TiS2_0,-442.896124
139096342_TiS2_0,-432.807958
139384_TiS2_0,-463.240928
140982578_CrO2_0,-507.635746
141338957_TiS2_0,-462.892217
141383_TiS2_0,-483.510946
141439564_CrTe2_0,-423.476470
141439564_HfS2_0,-526.209380
141439564_HfSe2_0,-493.606882
141439564_TiS2_0,-476.195666
141439564_TiSe2_0,-447.022942
141439564_TiTe2_0,-411.559545
141439564_ZrS2_0,-502.201926
141439564_ZrSe2_0,-471.864352
14150589_CrO2_0,-492.496515
14150589_TiS2_0,-406.996774
142400_ZrS2_0,-461.687220
145799005_MoO2_0,-555.447307
145799005_WO2_0,-595.684698
148942798_TiS2_0,-463.917463
150937838_TiS2_0,-407.163266
151089070_CrO2_0,-506.642704
152936781_HfSe2_0,-486.064721
152936781_TiS2_0,-468.559186
152936781_TiSe2_0,-439.452910
152936781_TiTe2_0,-403.810021
152936781_ZrS2_0,-494.610780
153050258_CrTe2_0,-416.063334
153050258_HfS2_0,-518.709608
153050258_HfSe2_0,-486.188448
153050258_HfTe2_0,-441.234262
153050258_TiS2_0,-468.601423
153050258_TiSe2_0,-439.539402
153050258_TiTe2_0,-404.182412
153050258_ZrS2_0,-494.716935
153050258_ZrSe2_0,-464.437908
154088397_HfS2_0,-518.339705
154088397_HfSe2_0,-485.742216
154088397_TiS2_0,-468.364474
154088397_TiSe2_0,-439.194990
154088397_TiTe2_0,-403.371331
154088397_ZrS2_0,-494.366428
154088397_ZrSe2_0,-464.010951
155490907_CrO2_0,-513.677658
15810462_TiS2_0,-474.033863
15892787_ZrS2_0,-466.474177
18185459_TiS2_0,-399.047840
20493452_TiS2_0,-480.005801
20528404_TiS2_0,-480.162497
21320951_CrO2_0,-499.706676
21867779_TiS2_0,-484.167181
22045783_CrO2_0,-507.917590
22475533_TiS2_0,-478.236749
224933_TiS2_0,-478.472501
2762756_TiS2_0,-478.027600
313681_TiS2_0,-477.973798
45080027_TiS2_0,-476.709746
54276512_CrO2_0,-508.124864
56972384_CrS2_0,-461.906696
56972384_CrTe2_0,-400.132882
56972384_HfS2_0,-503.957533
56972384_HfTe2_0,-425.319713
56972384_MoO2_0,-571.706051
56972384_MoS2_0,-499.951701
56972384_MoSe2_0,-469.035524
56972384_WO2_0,-611.927385
56972384_WS2_0,-532.944756
59995650_CrO2_0,-464.634038
640967_TiS2_0,-480.240262
640969_TiS2_0,-478.064803
66657420_CrO2_0,-526.626300
69099985_MoO2_0,-580.446953
69099985_WO2_0,-620.033484
69505622_CrO2_0,-523.019868
70524480_CrO2_0,-524.245828
736487_TiS2_0,-477.800481
82417738_TiS2_0,-480.200289
82417778_TiS2_0,-486.086280
85612290_CrO2_0,-487.349161
85774999_ZrS2_0,-486.013662
85843034_CrO2_0,-486.698980
85843071_CrO2_0,-487.767932
85843073_CrO2_0,-488.246335
86744112_CrO2_0,-512.556319
88942740_CrS2_0,-457.701952
88942740_CrTe2_0,-396.165488
88942740_HfS2_0,-498.998360
88942740_HfSe2_0,-466.345804
88942740_HfTe2_0,-421.361533
88942740_MoS2_0,-496.046770
88942740_MoSe2_0,-465.329251
88942740_MoTe2_0,-434.336773
88942740_TiSe2_0,-419.735389
88942740_TiTe2_0,-384.220166
88942740_WS2_0,-529.142191
88942740_WSe2_0,-494.093185
88942740_WTe2_0,-458.243114
88942740_ZrS2_0,-475.013526
88942740_ZrSe2_0,-444.672256
88942740_ZrTe2_0,-404.512894
90354164_TiS2_0,-466.974368
90487517_TiS2_0,-471.822697
90487519_TiS2_0,-471.620717
90487612_TiS2_0,-471.169190
90487638_TiS2_0,-473.169002
91231438_TiS2_0,-471.003945
9990649_TiS2_0,-471.896952
