Gas,Energy
gas_12606301,-113.579731
gas_134600226,-108.075042
gas_137161100,-99.114815
gas_137194105,-108.841108
gas_13837715,-81.118855
gas_141071144,-68.615155
gas_154148619,-94.371830
gas_15745868,-87.980857
gas_20197826,-71.297890
gas_20405740,-85.220655
gas_45080076,-108.771388
gas_45088201,-92.245901
gas_52933224,-93.479454
gas_58064051,-83.464195
gas_68970753,-102.669333
gas_69903064,-72.414147
gas_83382722,-94.448515
gas_87639233,-101.666913
gas_88957274,-114.052452
gas_91174071,-91.815129
