System,IC
12606301_CrS2_0,-487.142174
12606301_CrSe2_0,-456.502109
12606301_CrTe2_0,-425.617133
12606301_HfS2_0,-529.349431
12606301_HfSe2_0,-496.584691
12606301_HfTe2_0,-450.730812
12606301_MoS2_0,-525.450047
12606301_MoSe2_0,-494.714661
12606301_MoTe2_0,-463.735511
12606301_TiS2_0,-479.553725
12606301_TiSe2_0,-450.126172
12606301_TiTe2_0,-413.847339
12606301_WS2_0,-558.565791
12606301_WSe2_0,-523.516032
12606301_WTe2_0,-487.680774
12606301_ZrS2_0,-505.645894
12606301_ZrSe2_0,-474.935410
12606301_ZrTe2_0,-433.905786
134600226_CrS2_0,-481.965841
134600226_CrSe2_0,-451.343846
134600226_CrTe2_0,-420.399640
134600226_HfS2_0,-523.187150
134600226_HfSe2_0,-490.613033
134600226_HfTe2_0,-445.648328
134600226_MoS2_0,-520.317598
134600226_MoSe2_0,-489.592067
134600226_MoTe2_0,-458.616808
134600226_TiS2_0,-473.134549
134600226_TiSe2_0,-444.058684
134600226_TiTe2_0,-408.477743
134600226_WS2_0,-553.440094
134600226_WSe2_0,-518.383855
134600226_WTe2_0,-482.470569
134600226_ZrS2_0,-499.235483
134600226_ZrSe2_0,-468.831975
134600226_ZrTe2_0,-428.802491
137161100_CrS2_0,-472.584643
137161100_CrSe2_0,-441.909920
137161100_CrTe2_0,-410.920980
137161100_HfS2_0,-513.495264
137161100_HfSe2_0,-481.009577
137161100_HfTe2_0,-436.092231
137161100_MoS2_0,-510.893670
137161100_MoSe2_0,-480.134192
137161100_MoTe2_0,-449.088234
137161100_TiS2_0,-463.338570
137161100_TiSe2_0,-434.331855
137161100_TiTe2_0,-398.987391
137161100_WS2_0,-544.027887
137161100_WSe2_0,-508.932294
137161100_WTe2_0,-473.011778
137161100_ZrS2_0,-489.468314
137161100_ZrSe2_0,-459.228436
137161100_ZrTe2_0,-419.269751
137194105_CrS2_0,-482.402153
137194105_CrSe2_0,-451.721608
137194105_CrTe2_0,-420.874871
137194105_HfS2_0,-523.366803
137194105_HfSe2_0,-490.857779
137194105_HfTe2_0,-446.023055
137194105_MoS2_0,-520.680835
137194105_MoSe2_0,-489.944756
137194105_MoTe2_0,-459.002029
137194105_TiS2_0,-473.281616
137194105_TiSe2_0,-444.240384
137194105_TiTe2_0,-408.906321
137194105_WS2_0,-553.817033
137194105_WSe2_0,-518.742312
137194105_WTe2_0,-482.960356
137194105_ZrS2_0,-499.350339
137194105_ZrSe2_0,-469.103881
137194105_ZrTe2_0,-429.166804
13837715_CrS2_0,-454.594132
13837715_CrSe2_0,-423.995411
13837715_CrTe2_0,-393.049360
13837715_HfS2_0,-495.668445
13837715_HfSe2_0,-463.211213
13837715_HfTe2_0,-418.394860
13837715_MoS2_0,-492.967123
13837715_MoSe2_0,-462.257804
13837715_MoTe2_0,-431.326098
13837715_TiS2_0,-445.469916
13837715_TiSe2_0,-416.529248
13837715_TiTe2_0,-381.263306
13837715_WS2_0,-526.088624
13837715_WSe2_0,-491.046857
13837715_WTe2_0,-455.256400
13837715_ZrS2_0,-471.617548
13837715_ZrSe2_0,-441.418248
13837715_ZrTe2_0,-401.528185
141071144_CrS2_0,-441.615544
141071144_CrSe2_0,-410.974617
141071144_CrTe2_0,-380.031464
141071144_HfS2_0,-482.587574
141071144_HfSe2_0,-450.127189
141071144_HfTe2_0,-405.298130
141071144_MoS2_0,-479.945510
141071144_MoSe2_0,-449.218856
141071144_MoTe2_0,-418.197855
141071144_TiS2_0,-432.372249
141071144_TiSe2_0,-403.434770
141071144_TiTe2_0,-368.096836
141071144_WS2_0,-513.074754
141071144_WSe2_0,-478.010462
141071144_WTe2_0,-442.116736
141071144_ZrS2_0,-458.551188
141071144_ZrSe2_0,-428.351318
141071144_ZrTe2_0,-388.410207
154148619_CrS2_0,-468.019957
154148619_CrSe2_0,-437.404195
154148619_CrTe2_0,-406.469386
154148619_HfS2_0,-509.086382
154148619_HfSe2_0,-476.595393
154148619_HfTe2_0,-431.559270
154148619_MoS2_0,-506.367132
154148619_MoSe2_0,-475.646165
154148619_MoTe2_0,-444.591558
154148619_TiS2_0,-458.818479
154148619_TiSe2_0,-429.955933
154148619_TiTe2_0,-394.362732
154148619_WS2_0,-539.504126
154148619_WSe2_0,-504.439220
154148619_WTe2_0,-468.526930
154148619_ZrS2_0,-485.056480
154148619_ZrSe2_0,-454.803809
154148619_ZrTe2_0,-414.765693
15745868_CrS2_0,-461.572097
15745868_CrSe2_0,-430.899933
15745868_CrTe2_0,-399.928560
15745868_HfS2_0,-502.488279
15745868_HfSe2_0,-469.985794
15745868_HfTe2_0,-425.166419
15745868_MoS2_0,-499.894176
15745868_MoSe2_0,-469.141014
15745868_MoTe2_0,-438.081188
15745868_TiS2_0,-452.341276
15745868_TiSe2_0,-423.358012
15745868_TiTe2_0,-388.027601
15745868_WS2_0,-533.025425
15745868_WSe2_0,-497.923210
15745868_WTe2_0,-462.003000
15745868_ZrS2_0,-478.447344
15745868_ZrSe2_0,-448.213964
15745868_ZrTe2_0,-408.304533
20197826_CrS2_0,-444.706816
20197826_CrSe2_0,-414.029379
20197826_CrTe2_0,-383.108051
20197826_HfS2_0,-485.739318
