Gas,Energy
gas_101185691,-83.657753
gas_101185692,-83.685144
gas_101488244,-97.786551
gas_102102930,-91.061168
gas_102268550,-97.556266
gas_102277034,-91.166304
gas_11040973,-91.436695
gas_11658290,-87.496225
gas_11679827,-85.785526
gas_11715290,-85.076267
gas_117462,-92.381467
gas_118330848,-88.156874
gas_118482385,-98.869344
gas_121332531,-94.566959
gas_12210218,-93.699037
gas_12255796,-92.157286
gas_12255798,-92.114640
gas_12422666,-95.799613
gas_12614609,-90.979969
gas_12863025,-95.417634
gas_129630862,-94.742604
gas_129647128,-90.348502
gas_129736573,-94.959183
gas_129781150,-86.782188
gas_129798820,-95.907729
gas_129817334,-86.723958
gas_129911196,-92.006365
gas_130031624,-90.970595
gas_130064200,-92.491620
gas_130064244,-92.513440
gas_13447426,-92.002757
gas_136284,-91.841830
gas_136328,-90.943768
gas_13769913,-93.324608
gas_13950518,-97.461703
gas_141124392,-98.757787
gas_141130414,-96.091731
gas_147426342,-91.244702
gas_148096600,-87.254072
gas_151982342,-95.852911
gas_152016149,-90.207159
gas_153212746,-90.716656
gas_153750018,-85.675753
gas_153916466,-92.439195
gas_154149988,-95.850637
gas_154251311,-91.144186
gas_154519391,-92.958359
gas_154926700,-85.869751
gas_16201897,-81.918471
gas_17842478,-94.003930
gas_17842537,-92.377573
gas_17855626,-84.122751
gas_17855662,-87.016360
gas_17977055,-105.729792
gas_18341060,-88.097920
gas_19387306,-92.361950
gas_20146588,-98.340012
gas_20397123,-78.387832
gas_21095303,-84.273489
gas_21285726,-86.791968
gas_21285728,-93.637545
gas_21285735,-84.858526
gas_21328028,-96.406866
gas_21498931,-92.920866
gas_21757035,-94.026011
gas_21960581,-95.206876
gas_23033386,-98.189068
gas_23110321,-98.389897
gas_23368952,-98.332525
gas_240,-91.781797
gas_2773586,-90.562788
gas_289928,-93.712705
gas_396933,-87.450408
gas_45087511,-93.540975
gas_45088201,-92.246935
gas_54058458,-93.716100
gas_54516188,-93.838248
gas_54537976,-92.549799
gas_54541462,-92.583847
gas_5460726,-91.909768
gas_57321970,-80.206069
gas_575228,-93.100006
gas_588160,-92.281680
gas_638008,-93.533533
gas_66760665,-93.874966
gas_67500,-93.660693
gas_68009,-92.051139
gas_68155195,-88.153152
gas_69989685,-98.833037
gas_71353476,-91.585914
gas_71447096,-98.213812
gas_7222,-93.939853
gas_736335,-90.402175
gas_77987,-91.626971
gas_85633007,-90.431920
gas_85824325,-86.895272
gas_86249522,-87.460004
gas_87361649,-92.846892
gas_90791404,-92.675570
gas_90822693,-94.958715
gas_91486172,-86.259923
gas_91665935,-92.185375
gas_9224,-93.662445
