System,IC
101185691_CrO2_0,-534.481958
101185691_TiS2_0,-448.076861
101185692_TiS2_0,-449.546924
101488244_CrO2_0,-548.347184
101488244_TiS2_0,-461.941575
102102930_CrO2_0,-541.553525
102102930_TiS2_0,-455.103277
102268550_CrO2_0,-548.291489
102268550_TiS2_0,-461.905899
102277034_CrO2_0,-541.617333
102277034_TiS2_0,-455.236039
11040973_TiS2_0,-455.534642
11658290_TiS2_0,-451.532723
11679827_TiS2_0,-449.967817
11715290_TiS2_0,-449.287318
117462_TiS2_0,-456.792263
118330848_CrO2_0,-538.729430
118330848_TiS2_0,-452.593784
118482385_CrO2_0,-549.435822
118482385_TiS2_0,-463.133698
121332531_TiS2_0,-458.844881
12210218_TiS2_0,-457.947113
12255796_TiS2_0,-456.541628
12255798_TiS2_0,-456.568950
12422666_TiS2_0,-460.002876
12614609_TiS2_0,-455.525262
12863025_TiS2_0,-459.590466
129630862_CrO2_0,-545.573780
129630862_TiS2_0,-459.117359
129647128_CrO2_0,-540.813969
129647128_TiS2_0,-454.526220
129736573_CrO2_0,-546.444795
129736573_TiS2_0,-461.746080
129781150_TiS2_0,-451.362785
129798820_CrO2_0,-546.682429
129798820_TiS2_0,-460.504998
129817334_TiS2_0,-450.859403
129911196_TiS2_0,-456.458493
130031624_CrO2_0,-541.482579
130031624_TiS2_0,-455.083669
130064200_TiS2_0,-456.920503
130064244_TiS2_0,-456.962496
13447426_TiS2_0,-456.574040
136284_TiS2_0,-456.184698
136328_CrO2_0,-541.438111
136328_TiS2_0,-454.994053
13769913_TiS2_0,-457.632935
13950518_CrO2_0,-548.154251
13950518_TiS2_0,-461.765719
141124392_CrO2_0,-549.373945
141124392_TiS2_0,-462.993431
141130414_CrO2_0,-546.777784
147426342_CrO2_0,-541.693339
147426342_TiS2_0,-455.329536
148096600_TiS2_0,-451.732098
151982342_TiS2_0,-461.234640
152016149_TiS2_0,-454.940963
153212746_CrO2_0,-540.905388
153212746_TiS2_0,-455.221566
153750018_CrO2_0,-536.559849
153750018_TiS2_0,-450.118856
153916466_TiS2_0,-456.773436
154149988_CrO2_0,-546.705516
154149988_TiS2_0,-461.988769
154251311_CrO2_0,-542.019888
154251311_TiS2_0,-455.767650
154519391_CrO2_0,-543.758718
154519391_TiS2_0,-457.321835
154926700_TiS2_0,-453.711837
16201897_TiS2_0,-445.907942
17842478_TiS2_0,-458.297128
17842537_TiS2_0,-456.800192
17855626_CrO2_0,-536.540429
17855626_TiS2_0,-450.733676
17855662_CrO2_0,-537.754671
17855662_TiS2_0,-451.483994
17977055_CrO2_0,-556.807193
18341060_CrO2_0,-539.024513
18341060_TiS2_0,-453.805132
19387306_TiS2_0,-456.774061
20146588_CrO2_0,-548.796660
20146588_TiS2_0,-462.572475
20397123_TiS2_0,-442.458935
21095303_TiS2_0,-449.501533
21285726_CrO2_0,-537.306764
21285726_TiS2_0,-450.910490
21285728_TiS2_0,-458.474176
21285735_TiS2_0,-449.156928
21328028_TiS2_0,-461.058241
21498931_CrO2_0,-543.616864
21498931_TiS2_0,-457.298368
21757035_TiS2_0,-458.295962
21960581_CrO2_0,-545.789789
21960581_TiS2_0,-459.393757
23033386_CrO2_0,-548.932588
23033386_TiS2_0,-462.556345
23110321_CrO2_0,-548.750804
23110321_TiS2_0,-462.565854
23368952_CrO2_0,-548.831452
23368952_TiS2_0,-462.493673
240_CrO2_0,-542.019286
240_TiS2_0,-455.855791
2773586_CrO2_0,-540.849988
2773586_TiS2_0,-454.759964
289928_TiS2_0,-457.985196
396933_TiS2_0,-451.662181
45087511_CrO2_0,-545.541602
45087511_TiS2_0,-460.759464
45088201_CrO2_0,-544.118382
45088201_TiS2_0,-458.592369
54058458_TiS2_0,-458.007200
54516188_TiS2_0,-458.156555
54537976_CrO2_0,-543.360592
54537976_TiS2_0,-457.077992
54541462_CrO2_0,-543.577760
54541462_TiS2_0,-457.165894
5460726_CrO2_0,-542.777569
5460726_TiS2_0,-456.535437
57321970_TiS2_0,-444.201494
575228_TiS2_0,-457.112489
588160_CrO2_0,-542.508190
588160_TiS2_0,-456.315438
638008_TiS2_0,-457.790909
66760665_TiS2_0,-458.165780
67500_TiS2_0,-457.939331
68009_CrO2_0,-542.251044
68009_TiS2_0,-456.099070
68155195_TiS2_0,-452.491452
69989685_CrO2_0,-549.441546
69989685_TiS2_0,-463.043202
71353476_CrO2_0,-541.802392
71353476_TiS2_0,-455.720684
71447096_TiS2_0,-462.407731
7222_TiS2_0,-458.175179
736335_TiS2_0,-454.615238
77987_CrO2_0,-542.227043
77987_TiS2_0,-455.962983
85633007_CrO2_0,-541.767102
85633007_TiS2_0,-455.337513
85824325_CrO2_0,-537.286364
85824325_TiS2_0,-450.963879
86249522_CrO2_0,-539.261821
86249522_TiS2_0,-454.781731
87361649_TiS2_0,-459.715773
90791404_CrO2_0,-543.705882
90791404_TiS2_0,-457.240003
90822693_TiS2_0,-459.244199
91486172_TiS2_0,-450.292735
91665935_TiS2_0,-456.614564
9224_TiS2_0,-457.968885
