System,IC
101063723_CrO2_0,-539.553660
101185691_CrO2_0,-534.473604
101185692_CrO2_0,-534.572447
101410254_CrO2_0,-551.589277
101488244_CrO2_0,-548.345937
102102930_CrO2_0,-541.549333
102268550_CrO2_0,-548.289831
102277034_CrO2_0,-541.623327
102277035_CrO2_0,-539.450259
11029816_CrO2_0,-549.449916
11040973_CrO2_0,-541.585501
11126234_CrO2_0,-545.895133
11477_CrO2_0,-540.758601
11658290_CrO2_0,-537.861979
117462_CrO2_0,-543.132053
118330848_CrO2_0,-538.732887
118482385_CrO2_0,-549.429133
121332531_CrO2_0,-545.016542
12255796_CrO2_0,-542.532231
12255798_CrO2_0,-542.787981
12313811_CrO2_0,-550.253943
12355694_CrO2_0,-545.989919
12385478_CrO2_0,-544.229808
12422666_CrO2_0,-546.382582
12863025_CrO2_0,-545.989536
129137564_CrO2_0,-555.534727
129146568_CrO2_0,-549.592537
129146569_CrO2_0,-549.747180
129630862_CrO2_0,-545.569422
129647128_CrO2_0,-540.815386
129736573_CrO2_0,-547.133198
129781150_CrO2_0,-537.690693
129798820_CrO2_0,-546.683606
129817334_CrO2_0,-537.176270
129857554_CrO2_0,-545.615196
129911196_CrO2_0,-542.575132
130031624_CrO2_0,-541.427869
130032137_CrO2_0,-541.865575
131856294_CrO2_0,-546.616198
136071_CrO2_0,-557.157282
136284_CrO2_0,-542.465675
136328_CrO2_0,-541.443861
13950518_CrO2_0,-548.152394
140939804_CrO2_0,-555.778015
141124392_CrO2_0,-549.373964
141130414_CrO2_0,-546.774341
141420964_CrO2_0,-547.279161
14144377_CrO2_0,-550.560871
14547935_CrO2_0,-541.477657
147426342_CrO2_0,-541.688271
148096600_CrO2_0,-538.554397
148819941_CrO2_0,-559.283983
149195103_CrO2_0,-540.248473
149626459_CrO2_0,-549.832864
15112487_CrO2_0,-540.261213
151478463_CrO2_0,-552.815926
153212746_CrO2_0,-540.901689
153713893_CrO2_0,-553.686467
153750018_CrO2_0,-536.559826
15391279_CrO2_0,-538.745969
153916466_CrO2_0,-543.118422
153978265_CrO2_0,-549.651180
154149988_CrO2_0,-546.703830
154519391_CrO2_0,-543.755781
154926700_CrO2_0,-536.637902
155662892_CrO2_0,-566.046082
15810462_CrO2_0,-559.172553
173604_CrO2_0,-539.898754
17750952_CrO2_0,-538.656442
17842478_CrO2_0,-544.572085
17842635_CrO2_0,-545.821193
17855626_CrO2_0,-536.555068
17855662_CrO2_0,-537.755404
17977055_CrO2_0,-556.792905
18341060_CrO2_0,-539.022237
19387306_CrO2_0,-542.989693
19887074_CrO2_0,-540.587982
20089402_CrO2_0,-549.340618
20146588_CrO2_0,-548.793645
20397123_CrO2_0,-528.816533
21095303_CrO2_0,-535.323524
21285726_CrO2_0,-537.306590
21285728_CrO2_0,-545.042315
21498931_CrO2_0,-543.618153
21757035_CrO2_0,-544.519683
21960581_CrO2_0,-545.787680
22639627_CrO2_0,-544.066418
22993065_CrO2_0,-543.119259
23003193_CrO2_0,-569.573817
23033386_CrO2_0,-548.933889
23110321_CrO2_0,-548.752777
23368952_CrO2_0,-548.830279
240_CrO2_0,-542.007924
24752508_CrO2_0,-540.096695
2734839_CrO2_0,-540.974244
2773586_CrO2_0,-540.752576
396933_CrO2_0,-538.051247
45080044_CrO2_0,-553.027586
45087511_CrO2_0,-545.531096
45088201_CrO2_0,-544.110790
53439661_CrO2_0,-550.310090
53698263_CrO2_0,-555.793733
54034714_CrO2_0,-550.347481
54058458_CrO2_0,-544.318525
54268729_CrO2_0,-562.142539
54459284_CrO2_0,-550.293433
54516188_CrO2_0,-544.473624
54537976_CrO2_0,-543.368156
54541462_CrO2_0,-543.583314
5460726_CrO2_0,-542.780848
57111205_CrO2_0,-551.271567
57321970_CrO2_0,-530.645594
57352049_CrO2_0,-547.343092
57376260_CrO2_0,-557.389299
575228_CrO2_0,-543.132233
588088_CrO2_0,-542.440200
588160_CrO2_0,-542.506085
593866_CrO2_0,-540.948781
67498_CrO2_0,-545.262659
67794909_CrO2_0,-546.142284
67999_CrO2_0,-542.877824
68009_CrO2_0,-542.246501
68155195_CrO2_0,-538.866737
69989685_CrO2_0,-549.440084
71073_CrO2_0,-545.513984
71353476_CrO2_0,-541.798968
71447096_CrO2_0,-548.668487
736327_CrO2_0,-540.009932
736335_CrO2_0,-540.768003
74376_CrO2_0,-540.896194
75088849_CrO2_0,-548.377234
7726_CrO2_0,-540.941344
77987_CrO2_0,-542.231753
85633007_CrO2_0,-541.764098
85824325_CrO2_0,-537.290647
86249522_CrO2_0,-539.261250
87687517_CrO2_0,-545.452936
88203901_CrO2_0,-544.024064
89537834_CrO2_0,-552.036133
89537865_CrO2_0,-551.852273
89537867_CrO2_0,-551.273435
90736772_CrO2_0,-551.538158
90791404_CrO2_0,-543.708004
90822693_CrO2_0,-545.564682
90934318_CrO2_0,-550.827448
91483722_CrO2_0,-549.138883
91486172_CrO2_0,-536.516037
91527009_CrO2_0,-549.303500
91665935_CrO2_0,-542.703312
