Gas,Energy
gas_101063723,-89.337840
gas_101185691,-83.657454
gas_101185692,-83.684962
gas_101410254,-100.569784
gas_101488244,-97.785824
gas_102102930,-91.060593
gas_102268550,-97.556190
gas_102277034,-91.165783
gas_102277035,-88.808216
gas_11029816,-98.156965
gas_11040973,-91.437005
gas_11126234,-95.342209
gas_11477,-90.392315
gas_11658290,-87.496349
gas_117462,-92.381098
gas_118330848,-88.157366
gas_118482385,-98.869886
gas_121332531,-94.566474
gas_12255796,-92.157843
gas_12255798,-92.114194
gas_12313811,-99.550515
gas_12355694,-95.338422
gas_12385478,-93.868769
gas_12422666,-95.799839
gas_12863025,-95.417860
gas_129137564,-105.111375
gas_129146568,-98.971393
gas_129146569,-99.036464
gas_129630862,-94.741846
gas_129647128,-90.349045
gas_129736573,-94.958894
gas_129781150,-86.782303
gas_129798820,-95.907639
gas_129817334,-86.766017
gas_129857554,-95.117700
gas_129911196,-92.006703
gas_130031624,-90.971022
gas_130032137,-91.445370
gas_131856294,-95.687882
gas_136071,-106.455410
gas_136284,-91.842538
gas_136328,-90.942860
gas_13950518,-97.462447
gas_140939804,-104.918416
gas_141124392,-98.758297
gas_141130414,-96.091860
gas_141420964,-96.876385
gas_14144377,-99.705331
gas_14547935,-91.175057
gas_147426342,-91.245646
gas_148096600,-87.229698
gas_148819941,-107.711888
gas_149195103,-89.547205
gas_149626459,-99.180887
gas_15112487,-89.954259
gas_151478463,-102.282709
gas_153212746,-90.716574
gas_153713893,-103.510197
gas_153750018,-85.674985
gas_15391279,-88.232244
gas_153916466,-92.439519
gas_153978265,-99.011588
gas_154149988,-95.850236
gas_154519391,-92.957952
gas_154926700,-85.869897
gas_155662892,-115.082368
gas_15810462,-108.265788
gas_173604,-89.911319
gas_17750952,-88.292399
gas_17842478,-94.003612
gas_17842635,-95.507454
gas_17855626,-84.122542
gas_17855662,-87.016574
gas_17977055,-105.729382
gas_18341060,-88.098004
gas_19387306,-92.361746
gas_19887074,-90.338595
gas_20089402,-98.328000
gas_20146588,-98.339511
gas_20397123,-78.465432
gas_21095303,-84.273489
gas_21285726,-86.791635
gas_21285728,-93.637480
gas_21498931,-92.920313
gas_21757035,-94.025912
gas_21960581,-95.207140
gas_22639627,-93.540236
gas_22993065,-92.907272
gas_23003193,-116.505668
gas_23033386,-98.189234
gas_23110321,-98.388902
gas_23368952,-98.331657
gas_240,-91.782119
gas_24752508,-89.492006
gas_2734839,-90.631853
gas_2773586,-90.478038
gas_396933,-87.450283
gas_45080044,-102.286640
gas_45087511,-93.541105
gas_45088201,-92.246269
gas_53439661,-99.898418
gas_53698263,-105.415405
gas_54034714,-99.964494
gas_54058458,-93.715350
gas_54268729,-110.972131
gas_54459284,-99.903436
gas_54516188,-93.838120
gas_54537976,-92.549484
gas_54541462,-92.583870
gas_5460726,-91.909808
gas_57111205,-100.459868
gas_57321970,-80.206551
gas_57352049,-96.503113
gas_57376260,-105.784360
gas_575228,-93.099159
gas_588088,-92.165792
gas_588160,-92.279704
gas_593866,-90.583705
gas_67498,-94.864199
gas_67794909,-95.267401
gas_67999,-92.800175
gas_68009,-92.041229
gas_68155195,-88.153041
gas_69989685,-98.832571
gas_71073,-95.284152
gas_71353476,-91.585866
gas_71447096,-98.212409
gas_736327,-89.794668
gas_736335,-90.401977
gas_74376,-91.123897
gas_75088849,-97.153304
gas_7726,-90.427252
gas_77987,-91.626561
gas_85633007,-90.431913
gas_85824325,-86.894926
gas_86249522,-87.460085
gas_87687517,-94.600011
gas_88203901,-92.963603
gas_89537834,-101.576431
gas_89537865,-101.299882
gas_89537867,-100.797277
gas_90487612,-106.529191
gas_90736772,-100.556851
gas_90791404,-92.675949
gas_90822693,-94.958632
gas_90934318,-99.993436
gas_91483722,-98.279976
gas_91486172,-86.259202
gas_91527009,-98.332931
gas_91665935,-92.185442
