Gas,Energy
gas_101009032,-105.548790
gas_102069602,-105.004493
gas_10820677,-116.555246
gas_10997174,-116.992347
gas_122375216,-88.784197
gas_139096342,-66.330200
gas_140251627,-117.339991
gas_140618383,-123.252469
gas_145799005,-70.970718
gas_150507095,-100.248305
gas_154926700,-85.869986
gas_18977064,-109.950132
gas_21095303,-84.273707
gas_22959164,-99.320498
gas_23356469,-116.938732
gas_45083585,-117.532113
gas_45087933,-115.063339
gas_5367417,-82.113240
gas_54268729,-110.972927
gas_56972384,-87.112520
gas_56972385,-87.032484
gas_58120614,-104.523107
gas_59166628,-99.329362
gas_69726238,-111.021217
gas_71347911,-98.993754
gas_89704645,-86.803214
gas_89704646,-86.455663
gas_89911676,-122.741238
gas_90158070,-117.398390
