System,IC
101009032_CrO2_0,-556.879941
102069602_CrO2_0,-556.273875
10820677_CrO2_0,-567.431462
10997174_CrO2_0,-567.889998
122375216_CrO2_0,-539.127111
139096342_CrO2_0,-516.894584
140251627_CrO2_0,-567.988422
145799005_CrO2_0,-523.614815
150507095_CrO2_0,-551.442535
154926700_CrS2_0,-459.272303
154926700_HfS2_0,-503.271227
154926700_MoS2_0,-497.597128
154926700_TiS2_0,-453.704882
154926700_TiTe2_0,-387.382340
154926700_WS2_0,-530.706538
154926700_ZrS2_0,-480.734652
18977064_CrO2_0,-560.425223
21095303_CrO2_0,-535.328669
22959164_CrO2_0,-550.442592
22959164_MoO2_0,-583.934993
22959164_WO2_0,-624.100395
23356469_CrO2_0,-567.705727
45083585_CrO2_0,-567.950410
5367417_CrO2_0,-532.388752
5367417_MoO2_0,-566.224537
54268729_CrO2_0,-562.139560
56972384_CrO2_0,-540.241388
56972385_CrO2_0,-538.301863
58120614_CrO2_0,-555.206335
59166628_CrO2_0,-550.407544
69726238_CrO2_0,-561.676658
71347911_CrO2_0,-550.594103
89704645_CrO2_0,-537.493398
89704646_CrO2_0,-536.818012
