Gas,Energy
gas_101125918,-117.293408
gas_12280270,-118.069824
gas_129736573,-94.958602
gas_129856444,-75.858684
gas_136994,-117.269978
gas_154926700,-85.869684
gas_17855626,-84.122816
gas_19804509,-117.827569
gas_21867779,-117.292988
gas_22898301,-118.185403
gas_22959164,-99.320977
gas_23003193,-116.504623
gas_45080044,-102.286648
gas_45087511,-93.541237
gas_45087531,-116.430860
gas_5367417,-82.337231
gas_5463058,-99.131370
gas_77987,-91.626461
gas_85774999,-95.617500
gas_86249522,-87.459718
gas_87361649,-92.845952
gas_88942740,-84.457213
