CID SMILES Name
66624495 C1=CSC2=C1ON=N2 CrO2
67137811 C1=NSC2=C1N=CO2 CrO2
45121867 C1=NOC2=C1N=CS2 CrO2
59421459 C1=C2N(N=C1)N=CS2 CrO2
57255175 C1=CSN2C1=CN=N2 CrO2
54328121 C1=CN2C(=N1)N=CS2 CrO2
135966101 C1=NSC2=C1NC=N2 CrO2
135966102 C1=C2C(=NS1)N=CN2 CrO2
136228962 C1=C2C(=CN1)SN=N2 CrO2
136231694 C1=CNC2=C1N=NS2 CrO2
136952690 C1=NNC2=C1C=NS2 CrO2
137287848 C1=C2C=NNC2=NS1 CrO2
21854902 C1=C(SC2=NN=NN21)Br CrO2
59022017 C1=C2C(=CS1)OC(=O)O2 CrO2
146049415 C1=C2C(=NC(=N1)Cl)SC(=N2)Br CrO2
88220606 C1=C2N=NC(=S)N2N=C1 CrO2
129795272 C1=CN2C(=N1)N=NC2=S CrO2
12351033 C1=CN2C=NSC2=N1 CrO2
13755997 C1=CSC2=NC=NN21 CrO2
13755998 C1=CSC2=NN=CN21 CrO2
18625232 C1=CN2C(=N1)SC=N2 CrO2
66667912 C1=NNC2=C1N=CS2 CrO2
67259815 C1=CSC2=NON=C21 CrO2
18630807 C1=C2C(=NS1)C=NC=N2 CrO2
10351759 C1=C2C(=NC=N1)N=CS2 CrO2
84717430 C1=C2C(=NC=N1)SC(=N2)Cl CrO2
91591722 C1=C2C(=C(N=N1)Cl)N=CS2 CrO2
115013957 C1=CSC2=C1C(=NN=N2)Cl CrO2
150386998 C1=C2C(=CN=N1)SC(=N2)Cl CrO2
140485142 C1=CN2C(=N1)OC(=S)O2 CrO2
23303028 C1=CN2C(=N1)SN=C2Cl CrO2
84654246 C1=C2C(=NC=N1)N=C(S2)Cl CrO2
67699079 C1=C(N=C2N1N=CS2)Cl CrO2
90280628 C1=C2C(=NS1)N(C=N2)Cl CrO2
45088201 C1=CSC2=C3N1C=C3N=C2 CrO2
21141284 C1=C(N=CC2=NSN=C21)Br CrO2
82393739 C1=C2C(=NC(=N1)Br)N=CS2 CrO2
82393740 C1=C2C(=NC=N1)N=C(S2)Br CrO2
82393741 C1=NC2=C(C(=N1)Br)SC=N2 CrO2
67699080 C1=C(N2C(=N1)SC=N2)Cl CrO2
83827273 C1=C2C(=NC(=N1)Cl)C=NS2 CrO2
82653361 C1=C2C(=NC(=N1)Cl)N=CS2 CrO2
76662195 C1=NC2=C(C(=N1)Cl)SC=N2 CrO2
129860303 C1=CSC2=NP=NN21 CrO2
418344 C1=NN=C2N1N=CS2 CrO2
59210915 C1=NN=C2N1SC=N2 CrO2
59421456 C1=NSN2C1=NC=N2 CrO2
59421517 C1=NSN2C1=NN=C2 CrO2
129791267 C1=C2N(N=CS2)N=N1 CrO2
135348335 C1=C2N=CSN2N=N1 CrO2
143170 C1=C(C=NC2=C1N=NS2)Cl CrO2
319582 C1=CC(=NC2=NSN=C21)Cl CrO2
