System,IC
112571871_CrO2_0,-533.124598
112572013_CrO2_0,-532.955358
114771002_CrO2_0,-533.165735
115013957_CrO2_0,-532.008532
116985808_CrO2_0,-487.336891
118073270_CrO2_0,-519.907005
118209708_CrO2_0,-514.676320
118209842_CrO2_0,-519.394814
118209887_CrO2_0,-513.543814
118209986_CrO2_0,-512.805874
118209989_CrO2_0,-518.465893
118210201_CrO2_0,-518.416616
118210378_CrO2_0,-519.406525
118210692_CrO2_0,-518.379877
118210704_CrO2_0,-512.954661
12298999_CrO2_0,-536.151415
129738833_CrO2_0,-512.252027
129791267_CrO2_0,-519.091876
129795272_CrO2_0,-528.029518
129860303_CrO2_0,-517.903492
129874159_CrO2_0,-534.789482
129949425_CrO2_0,-530.984933
130317924_CrO2_0,-532.204533
130317925_CrO2_0,-532.081495
130317932_CrO2_0,-532.185327
130317943_CrO2_0,-529.551603
130317944_CrO2_0,-529.560212
130758342_CrO2_0,-532.513538
132273882_CrO2_0,-534.806883
135347955_CrO2_0,-512.838432
135348128_CrO2_0,-511.927299
135348142_CrO2_0,-518.633735
135348204_CrO2_0,-512.961552
135348271_CrO2_0,-512.002425
135348335_CrO2_0,-519.232543
135348391_CrO2_0,-512.093080
135348398_CrO2_0,-518.654669
135400178_CrO2_0,-537.244168
135460303_CrO2_0,-536.385649
135487923_CrO2_0,-536.881194
135966100_CrO2_0,-520.780287
136158606_CrO2_0,-520.091937
136159813_CrO2_0,-525.722164
136183603_CrO2_0,-536.156211
136382974_CrO2_0,-519.630431
136382984_CrO2_0,-519.582535
136478911_CrO2_0,-527.788724
137184489_CrO2_0,-535.128009
137228693_CrO2_0,-527.797871
13836650_CrO2_0,-536.602594
138377544_CrO2_0,-525.292296
140328361_CrO2_0,-510.714649
140485142_CrO2_0,-524.402583
141119935_CrO2_0,-536.413333
141232760_CrO2_0,-513.730582
141361488_CrO2_0,-532.691415
142691563_CrO2_0,-525.400442
143170_CrO2_0,-532.727722
144798458_CrO2_0,-516.192117
144798510_CrO2_0,-514.599918
145706254_CrO2_0,-533.476087
145808440_CrO2_0,-536.063669
146049415_CrO2_0,-531.074547
146870745_CrO2_0,-515.786341
150347771_CrO2_0,-529.497840
150386998_CrO2_0,-532.396601
152187008_CrO2_0,-521.211300
15219882_CrO2_0,-489.166378
155055298_CrO2_0,-535.217469
15665824_CrO2_0,-518.458756
15688700_CrO2_0,-487.805943
18987989_CrO2_0,-534.881283
21122430_CrO2_0,-532.713136
21141284_CrO2_0,-532.507481
21522661_CrO2_0,-520.174517
21854900_CrO2_0,-517.789359
21854902_CrO2_0,-517.118392
21865095_CrO2_0,-489.615008
22245693_CrO2_0,-519.459509
22997470_CrO2_0,-534.732712
23303028_CrO2_0,-524.017475
3034185_CrO2_0,-506.697218
319582_CrO2_0,-533.166375
319592_CrO2_0,-531.880377
418344_CrO2_0,-519.430640
43667923_CrO2_0,-522.665337
45033495_CrO2_0,-538.802915
45121805_CrO2_0,-518.436066
45121833_CrO2_0,-518.716487
45121867_CrO2_0,-518.379442
45121871_CrO2_0,-519.563629
53922661_CrO2_0,-534.294955
54204203_CrO2_0,-533.310163
55252621_CrO2_0,-526.583945
56626134_CrO2_0,-515.360918
57077204_CrO2_0,-534.203969
57482764_CrO2_0,-533.217291
58332115_CrO2_0,-532.877327
58332198_CrO2_0,-533.263014
59210915_CrO2_0,-519.838375
59421456_CrO2_0,-519.791120
59421517_CrO2_0,-519.702415
598827_CrO2_0,-533.392468
609639_CrO2_0,-532.124786
609643_CrO2_0,-531.820210
66221755_CrO2_0,-520.915115
66489749_CrO2_0,-535.367184
66624131_CrO2_0,-519.370432
66624179_CrO2_0,-518.799035
66624358_CrO2_0,-518.285496
66624495_CrO2_0,-519.065763
66659783_CrO2_0,-536.173812
66787186_CrO2_0,-488.426791
67108296_CrO2_0,-520.420513
67137603_CrO2_0,-512.927488
67137608_CrO2_0,-512.026802
67137811_CrO2_0,-519.250938
67259815_CrO2_0,-517.788808
67699079_CrO2_0,-523.470814
67699080_CrO2_0,-523.525968
67828098_CrO2_0,-534.231704
68529687_CrO2_0,-519.783116
69415719_CrO2_0,-493.982174
69620675_CrO2_0,-535.365009
69748996_CrO2_0,-533.734763
69871727_CrO2_0,-534.100215
76662195_CrO2_0,-533.716927
82393739_CrO2_0,-532.913027
82393740_CrO2_0,-532.241386
82393741_CrO2_0,-533.128461
82393742_CrO2_0,-532.854025
82393743_CrO2_0,-532.242766
82554628_CrO2_0,-533.651050
82653361_CrO2_0,-533.597172
83827273_CrO2_0,-533.121349
84654246_CrO2_0,-533.037271
84717430_CrO2_0,-533.433079
84723817_CrO2_0,-532.691864
85589091_CrO2_0,-530.367785
85800274_CrO2_0,-519.274917
88220606_CrO2_0,-527.534521
88844901_CrO2_0,-497.277890
89097138_CrO2_0,-534.785695
89173479_CrO2_0,-525.126185
90280628_CrO2_0,-522.807057
90955800_CrO2_0,-535.393466
91591722_CrO2_0,-532.812993
96536576_CrO2_0,-532.136948
