Gas,Energy
gas_10351759,-84.383690
gas_115013957,-81.342235
gas_118209842,-69.222405
gas_118209986,-62.492774
gas_118210184,-74.360200
gas_118210698,-74.749795
gas_12298999,-85.595668
gas_12351033,-74.873536
gas_12452794,-83.684897
gas_129738833,-61.879795
gas_129791267,-68.855054
gas_129795272,-77.608335
gas_129860303,-67.369327
gas_129874159,-84.701813
gas_129949425,-80.672543
gas_130317924,-81.658538
gas_130317925,-81.493109
gas_130317932,-81.573654
gas_130317943,-79.479926
gas_130317944,-79.501960
gas_130758342,-82.173691
gas_132273882,-84.547855
gas_135348128,-61.603735
gas_135348271,-61.681226
gas_135348335,-69.013573
gas_135348391,-61.751235
gas_135400178,-86.899750
gas_135460303,-86.031243
gas_135487923,-86.260121
gas_135514766,-79.432366
gas_135966101,-75.117496
gas_135966102,-75.094229
gas_136183603,-85.639078
gas_136228962,-74.376144
gas_136231694,-74.432841
gas_136952690,-74.599549
gas_137184489,-85.146683
gas_137194105,-108.841933
gas_137287848,-74.584621
gas_13755997,-74.723436
gas_13755998,-74.319897
gas_13836650,-86.110655
gas_140328361,-60.298842
gas_140485142,-74.100978
gas_141361488,-82.101712
gas_143170,-82.237402
gas_144798510,-63.925939
gas_145706254,-82.673924
gas_145808440,
gas_146049415,-80.913637
gas_146870745,-65.308401
gas_150347771,-79.450558
gas_150386998,-82.011345
gas_153731278,-83.265340
gas_155055298,-84.821575
gas_15665824,-68.310459
gas_18625232,-74.441217
gas_18630807,-83.933648
gas_18758265,-83.446285
gas_18758278,-83.461114
gas_18987989,-84.792054
gas_19597579,-82.634495
gas_20197826,-71.297579
gas_20404645,-84.262681
gas_21122430,-82.373338
gas_21141284,-82.059215
gas_21224041,-75.273465
gas_21522661,-69.397032
gas_21854900,-67.437364
gas_21854902,-66.772325
gas_22245693,-69.205790
gas_22736815,-84.169335
gas_22997470,-84.530340
gas_23303028,-73.417940
gas_3034185,-55.995323
gas_319582,-82.900672
gas_319592,-81.421667
gas_418344,-69.183885
gas_43667923,-72.234160
gas_45079785,-83.647398
gas_45080468,-83.982260
gas_45080490,-84.136661
gas_45088201,-92.246849
gas_45121805,-68.280774
gas_45121833,-68.484881
gas_45121867,-68.294396
gas_45121871,-69.361776
gas_53669451,-85.099463
gas_53922661,-84.008218
gas_54039588,-74.841876
gas_54204203,-82.790263
gas_54328121,-74.661798
gas_56626134,-64.841082
gas_57077204,-83.930724
gas_57255175,-73.684043
gas_57482764,-82.863220
gas_57583012,-83.018490
gas_58064051,-83.463817
gas_58332115,-82.322174
gas_58332198,-82.915636
gas_586229,-84.373992
gas_59022017,-75.708907
gas_59210915,-69.410767
gas_59421456,-69.690046
gas_59421459,-74.054223
gas_59421468,-74.521726
gas_59421517,-69.349381
gas_598827,-83.019641
gas_609639,-81.686522
gas_609643,-81.601777
gas_66623739,-74.631852
gas_66624131,-69.247951
gas_66624179,-68.602362
gas_66624199,-82.634818
gas_66624358,-68.178380
gas_66624495,-68.193165
gas_66667912,-74.659482
gas_67108296,-70.096590
gas_67137608,-61.659050
gas_67137811,-69.139170
gas_67259815,-67.564731
gas_67699079,-73.014828
gas_67699080,-72.873761
gas_67828098,-84.260442
gas_69487822,-74.362791
gas_69620675,-85.314570
gas_69748996,-83.610060
gas_69871727,-84.336101
gas_70169304,-85.145908
gas_76662195,-83.117334
gas_82393739,-82.323607
gas_82393740,-82.275103
gas_82393741,-82.427116
gas_82393742,-82.126893
gas_82393743,-82.117438
gas_82653361,-83.033787
gas_83827273,-82.782502
gas_84654246,-82.963903
gas_84717430,-82.960972
gas_84723817,-82.272448
gas_85589091,-80.211247
gas_88220606,-77.136846
gas_89097138,-84.624561
gas_90124648,-83.239442
gas_90245799,-83.248642
gas_90280628,-72.418562
gas_90955800,-84.922447
gas_91591722,-82.053835
gas_96536576,-81.557707
