Gas,Energy
gas_112571871,-82.969174
gas_112572013,-82.986624
gas_114771002,-83.111362
gas_115013957,-81.342643
gas_116985808,-37.322322
gas_118073270,-69.736229
gas_118209708,-64.657452
gas_118209842,-69.221881
gas_118209887,-63.596911
gas_118209986,-62.493142
gas_118209989,-68.281482
gas_118210201,-68.242749
gas_118210378,-69.323255
gas_118210692,-68.114685
gas_118210704,-62.885447
gas_12298999,-85.595706
gas_129738833,-61.880012
gas_129791267,-68.854925
gas_129795272,-77.608503
gas_129860303,-67.369605
gas_129874159,-84.711684
gas_129949425,-80.671880
gas_130317924,-81.659301
gas_130317925,-81.492743
gas_130317932,-81.573977
gas_130317943,-79.480221
gas_130317944,-79.502908
gas_130758342,-82.173495
gas_132273882,-84.546380
gas_135347955,-62.807807
gas_135348128,-61.603662
gas_135348142,-68.403746
gas_135348204,-62.926952
gas_135348271,-61.681047
gas_135348335,-69.015800
gas_135348391,-61.751288
gas_135348398,-68.297248
gas_135400178,-86.899807
gas_135460303,-86.031832
gas_135487923,-86.261427
gas_135966100,-70.561645
gas_136158606,-69.892858
gas_136159813,-75.444212
gas_136183603,-85.639647
gas_136382974,-69.417139
gas_136382984,-69.338516
gas_136478911,-77.301346
gas_137184489,-85.148014
gas_137228693,-77.195265
gas_13836650,-86.110819
gas_138377544,-74.586592
gas_140328361,-60.298862
gas_140485142,-74.102177
gas_141119935,-86.083460
gas_141232760,-63.396330
gas_141361488,-82.101186
gas_142691563,-74.703739
gas_143170,-82.237312
gas_144798458,-65.694120
gas_144798510,-63.925573
gas_145706254,-82.673070
gas_145808440,-85.468881
gas_146049415,-80.913182
gas_146870745,-65.307416
gas_150347771,-79.450658
gas_150386998,-82.011683
gas_152187008,-70.793209
gas_15219882,-39.556454
gas_155055298,-84.820901
gas_15665824,-68.310182
gas_15688700,-37.994578
gas_18987989,-84.792893
gas_21122430,-82.373528
gas_21141284,-82.058655
gas_21522661,-69.396830
gas_21854900,-67.437324
gas_21854902,-66.771701
gas_21865095,-40.042309
gas_22245693,-69.205229
gas_22997470,-84.531077
gas_23303028,-73.416760
gas_3034185,-55.994834
gas_319582,-82.901153
gas_319592,-81.421100
gas_418344,-69.185738
gas_43667923,-72.234854
gas_45033495,-87.992690
gas_45121805,-68.280956
gas_45121833,-68.484424
gas_45121867,-68.294528
gas_45121871,-69.361296
gas_53669451,-85.122501
gas_53922661,-84.008760
gas_54204203,-82.790560
gas_55252621,-76.081133
gas_56626134,-64.841620
gas_57077204,-83.930920
gas_57482764,-82.862468
gas_58332115,-82.321283
gas_58332198,-82.915603
gas_59210915,-69.410785
gas_59421456,-69.689077
gas_59421517,-69.350014
gas_598827,-83.019954
gas_609639,-81.686887
gas_609643,-81.601213
gas_66221755,-70.660825
gas_66489749,-84.972658
gas_66624131,-69.248364
gas_66624179,-68.603450
gas_66624358,-68.178032
gas_66624495,-68.193524
gas_66659783,-85.966435
gas_66787186,-38.535910
gas_67108296,-70.096706
gas_67137603,-62.791357
gas_67137608,-61.658944
gas_67137811,-69.140009
gas_67259815,-67.565310
gas_67699079,-73.015193
gas_67699080,-72.873834
gas_67828098,-84.256467
gas_68529687,-69.558781
gas_69415719,-43.512773
gas_69620675,-85.313516
gas_69748996,-83.611409
gas_69871727,-84.178512
gas_70169304,-85.146969
gas_76662195,-83.117252
gas_82393739,-82.324659
gas_82393740,-82.275620
gas_82393741,-82.427695
gas_82393742,-82.126731
gas_82393743,-82.116976
gas_82554628,-83.295083
gas_82653361,-83.034067
gas_83827273,-82.782530
gas_84654246,-82.964385
gas_84717430,-82.960406
gas_84723817,-82.272286
gas_85589091,-80.211415
gas_85800274,-68.727846
gas_88220606,-77.136864
gas_88844901,-47.310016
gas_89097138,-84.625338
gas_89173479,-74.413907
gas_90280628,-72.418270
gas_90955800,-84.922677
gas_91591722,-82.055185
gas_96536576,-81.557756
