CID SMILES_x Name System IC_ENERGY Mean Variance Error GasFormula SystemName
68890631 C1=CN2C=COC=C2N=C1 CrO2 68890631_CrO2_0 -2.27132899999998 -1.9466408128982835 0.0162755989354195 0.32468818710169667 C7H6N2O CrO2_C1=CN2C=COC=C2N=C1
21876565 C1=CC2=COC=CN2C=C1 CrO2 21876565_CrO2_0 -2.477657000000022 -2.1476281213985136 0.0505507552067782 0.3300288786015084 C8H7NO CrO2_C1=CC2=COC=CN2C=C1
20068707 C1=CSC2=CN=CNC2=C1 CrO2 20068707_CrO2_0 -2.2906560000000127 -1.9588145674305817 0.033199423598557 0.331841432569431 C7H6N2S CrO2_C1=CSC2=CN=CNC2=C1
19971623 C1=COC2=CN=CNC2=C1 CrO2 19971623_CrO2_0 -2.2601569999999924 -1.9269121002856755 0.0116996355946514 0.3332448997143169 C7H6N2O CrO2_C1=COC2=CN=CNC2=C1
67818024 C1=CC=C2C=NNN2C=C1 CrO2 67818024_CrO2_0 -2.6807289999999853 -2.325399088582516 0.0442494838969782 0.3553299114174693 C7H7N3 CrO2_C1=CC=C2C=NNN2C=C1
154926700 C1=CC2=COC3=CC1=C23 HfS2 154926700_HfS2_0 -2.4281140000000505 -2.068726000507151 0.3578372541049367 0.35938799949289946 C8H4O HfS2_C1=CC2=COC3=CC1=C23
20059263 C1=CC2=CNNC=C2N=C1 MoO2 20059263_MoO2_0 -2.0931469999999877 -1.7120543089605336 0.0353778934870619 0.3810926910394541 C7H7N3 MoO2_C1=CC2=CNNC=C2N=C1
20059245 C1=CNC2=COC=CC2=C1 CrO2 20059245_CrO2_0 -2.472329000000002 -2.0854926854202835 0.0322599377211417 0.38683631457971845 C8H7NO CrO2_C1=CNC2=COC=CC2=C1
66692718 C1=CC2=C(C=C1Br)NC=CN2 CrO2 66692718_CrO2_0 -2.315570999999977 -1.9140707811224285 0.148654868509691 0.4015002188775487 C8H7BrN2 CrO2_C1=CC2=C(C=C1Br)NC=CN2
90870232 C1=CN2C=NC=NC2=CN1 CrO2 90870232_CrO2_0 -3.05174999999997 -2.623207310485817 0.0627511484045001 0.4285426895141531 C6H6N4 CrO2_C1=CN2C=NC=NC2=CN1
45087531 C1=CC=C2NC=CN2C=C1 CrO2 45087531_CrO2_0 -2.7614439999999263 -2.3321013074613663 0.0661111850184457 0.42934269253855994 C8H8N2 CrO2_C1=CC=C2NC=CN2C=C1
70544929 C1=CNNC2=NC=NC=C21 CrO2 70544929_CrO2_0 -2.684024000000079 -2.1931300657763444 0.0293139248287314 0.4908939342237346 C6H6N4 CrO2_C1=CNNC2=NC=NC=C21
14150589 B1=CC=C1 CrO2 14150589_CrO2_0 -3.3784309999999778 -2.8828458711582723 0.3413485311413921 0.49558512884170547 C3H3B CrO2_B1=CC=C1
154926700 C1=CC2=COC3=CC1=C23 ZrSe2 154926700_ZrSe2_0 -2.7268629999999803 -2.217185071295739 0.446392749063696 0.5096779287042414 C8H4O ZrSe2_C1=CC2=COC3=CC1=C23
150937838 B1=C(C(=C1F)F)F CrO2 150937838_CrO2_0 -3.695637999999974 -3.177571690370097 0.5190282871265832 0.518066309629877 C3BF3 CrO2_B1=C(C(=C1F)F)F
129736573 C1=CC2=C3C1=CC3=CC2=O CrO2 129736573_CrO2_0 -2.3795729999999935 -1.8358277515409336 0.2329637653193872 0.5437452484590599 C9H4O CrO2_C1=CC2=C3C1=CC3=CC2=O
140982578 B1=C(C=C1)C=O CrO2 140982578_CrO2_0 -2.3954519999999775 -1.8448820474819407 0.2535601035963143 0.5505699525180368 C4H3BO CrO2_B1=C(C=C1)C=O
154926700 C1=CC2=COC3=CC1=C23 HfSe2 154926700_HfSe2_0 -2.4857130000000325 -1.93342523097616 0.3302512681465041 0.5522877690238726 C8H4O HfSe2_C1=CC2=COC3=CC1=C23
141116177 C1=CNC=C2C1=CN=CN2 CrO2 141116177_CrO2_0 -3.354501999999968 -2.800510546377934 0.0636369885285503 0.5539914536220341 C7H7N3 CrO2_C1=CNC=C2C1=CN=CN2
23003193 C1=CC2=CNC=CN2C=C1 CrO2 23003193_CrO2_0 -3.2734179999999355 -2.706297912404786 0.1082071416580667 0.5671200875951494 C8H8N2 CrO2_C1=CC2=CNC=CN2C=C1
139658327 C1=CC=C2C(=C1)C=NNN2Cl CrO2 139658327_CrO2_0 -2.588217000000043 -2.007849816253757 0.08290238591723 0.580367183746286 C7H6ClN3 CrO2_C1=CC=C2C(=C1)C=NNN2Cl
